dataset,query_id,observation_count,ndcg@10_delta,mrr@10_delta
arguana,test-digital-freedoms-efsappgdfp-con04a,3,0.0,0.0
arguana,test-digital-freedoms-efsappgdfp-con05a,3,0.0,0.0
arguana,test-digital-freedoms-eifpgdff-con01a,3,0.0,0.0
arguana,test-digital-freedoms-phwnaccpdt-pro01a,3,0.014434881121747567,0.013888888888888895
arguana,test-digital-freedoms-phwnaccpdt-pro02a,3,0.0,0.0
arguana,test-digital-freedoms-piidfaihbg-con03a,6,-0.021205388032327428,-0.02182539682539682
arguana,test-digital-freedoms-piidfiphwu-con03a,3,0.0,0.0
arguana,test-digital-freedoms-piidfiphwu-pro03a,6,0.0,0.0
arguana,test-economy-beghwbh-con02a,3,0.0,0.0
arguana,test-economy-beghwbh-con04a,3,0.0,0.0
arguana,test-economy-beghwbh-pro01a,3,0.0,0.0
arguana,test-economy-beghwbh-pro02a,3,-0.053519473901208314,-0.05714285714285716
arguana,test-economy-beghwbh-pro03a,6,0.0,0.0
arguana,test-economy-bepiehbesa-pro01a,3,0.0,0.0
arguana,test-economy-bepighbdb-con04a,3,-0.2890648263178879,-0.1
arguana,test-economy-beplcpdffe-pro04a,3,-0.10034333188799373,-0.037037037037037035
arguana,test-economy-bhahwbsps-pro04a,3,0.0,0.0
arguana,test-economy-egecegphw-pro01a,6,0.022873853774688868,0.023809523809523808
arguana,test-economy-egiahbwaka-con02a,3,0.021205388032327428,0.02182539682539682
arguana,test-economy-egiahbwaka-con03a,3,0.0,0.0
arguana,test-economy-egiahbwaka-pro02a,3,0.0,0.0
arguana,test-economy-egppphbcb-con02a,3,0.0,0.0
arguana,test-economy-egppphbcb-pro04a,3,-0.019419543986866333,-0.021296296296296296
arguana,test-economy-epegiahsc-pro03a,3,0.0,0.0
arguana,test-economy-epehwmrbals-pro01a,3,0.0,0.0
arguana,test-economy-epehwmrbals-pro03a,3,-0.14379281289197782,-0.16666666666666666
arguana,test-economy-epehwmrbals-pro05a,3,0.0,0.0
arguana,test-economy-epiasghbf-con01a,3,0.0,0.0
arguana,test-economy-epiasghbf-con03a,3,0.20025319549806447,0.25
arguana,test-economy-epiasghbf-pro01a,3,0.0,0.0
arguana,test-economy-epsihbdns-con02a,6,0.02805503134257592,0.030158730158730173
arguana,test-economy-epsihbdns-pro02a,6,0.01672393140565222,0.01653439153439153
arguana,test-economy-fiahwpamu-con01a,3,0.0,0.0
arguana,test-economy-thhghwhwift-con03a,3,0.017247872006061333,0.0171957671957672
arguana,test-economy-thhghwhwift-pro02a,6,-0.008800016822613629,-0.008333333333333331
arguana,test-economy-thsptr-con03a,3,0.0,0.0
arguana,test-economy-thsptr-pro01a,3,-0.22025445982171846,-0.09298941798941798
arguana,test-economy-thsptr-pro05a,3,0.06932344192660694,0.08333333333333331
arguana,test-education-egscphsrdt-pro02a,3,0.0,0.0
arguana,test-education-egtuscpih-pro02a,3,-0.028367812868344628,-0.027248677248677244
arguana,test-education-egtuscpih-pro05a,3,0.0,0.0
arguana,test-education-pshhghwpba0-con04a,3,0.0,0.0
arguana,test-education-pshhghwpba0-pro01a,3,0.0,0.0
arguana,test-education-pshhghwpba0-pro04a,3,0.04382375083885143,0.04999999999999999
arguana,test-education-pstrgsehwt-con01a,3,-0.0569445429694331,-0.0578042328042328
arguana,test-education-pstrgsehwt-pro02a,3,0.0,0.0
arguana,test-education-tuhwastua-pro01a,3,0.04382375083885143,0.04999999999999999
arguana,test-education-tuhwastua-pro02a,3,0.0,0.0
arguana,test-education-udfakusma-pro03a,3,0.0,0.0
arguana,test-education-ufsdfkhbwu-con01a,3,0.0,0.0
arguana,test-education-ughbuesbf-con02a,3,-0.20549829081656998,-0.0787037037037037
arguana,test-education-ughbuesbf-pro01a,3,0.0,0.0
arguana,test-education-ughbuesbf-pro04a,3,0.06932344192660694,0.08333333333333331
arguana,test-education-usuprmhbu-con02a,6,0.0,0.0
arguana,test-education-usuprmhbu-pro03a,6,0.0,0.0
arguana,test-education-xeegshwfeu-pro01a,3,0.0,0.0
arguana,test-education-xeegshwfeu-pro02a,3,0.0,0.0
arguana,test-education-xeegshwfeu-pro03a,3,0.0,0.0
arguana,test-environment-aeghhgwpe-con01a,3,0.0,0.0
arguana,test-environment-aeghhgwpe-con03a,3,-0.11314719276545837,-0.1333333333333333
arguana,test-environment-aeghhgwpe-pro01a,6,0.0,0.0
arguana,test-environment-aiahwagit-con02a,3,-0.13092975357145753,-0.16666666666666669
arguana,test-environment-aiahwagit-con03a,3,0.0,0.0
arguana,test-environment-aiahwagit-pro01a,3,0.0,0.0
arguana,test-environment-assgbatj-con01a,3,0.0,0.0
arguana,test-environment-assgbatj-con02a,3,-0.23465846718770103,-0.1078042328042328
arguana,test-environment-assgbatj-con03a,3,-0.011965169346093318,-0.0111111111111111
arguana,test-environment-assgbatj-pro03a,3,0.04382375083885143,0.04999999999999999
arguana,test-environment-assgbatj-pro04a,3,-0.04163580145000706,-0.04404761904761906
arguana,test-environment-chbwtlgcc-con01a,3,0.11592273815169363,0.052248677248677246
arguana,test-environment-chbwtlgcc-con02a,3,-0.06932344192660694,-0.08333333333333331
arguana,test-environment-ehwsnwu-con01a,3,-0.01786845654760455,-0.01785714285714285
arguana,test-environment-ehwsnwu-con03a,6,0.0,0.0
arguana,test-environment-opecewiahw-con02a,3,0.23269070478719728,0.10555555555555556
arguana,test-environment-opecewiahw-con04a,3,0.0,0.0
arguana,test-environment-opecewiahw-pro02a,3,0.0,0.0
arguana,test-free-speech-debate-fchbjaj-pro03a,3,0.0,0.0
arguana,test-free-speech-debate-fsaphgiap-con03a,3,0.10657014881480244,0.04444444444444445
arguana,test-free-speech-debate-fsaphgiap-con04a,3,0.0,0.0
arguana,test-free-speech-debate-fsaphgiap-pro04a,3,0.0,0.0
arguana,test-free-speech-debate-ldhwbmclg-con03a,3,0.0,0.0
arguana,test-free-speech-debate-ldhwbmclg-pro01a,3,0.0,0.0
arguana,test-free-speech-debate-ldhwbmclg-pro03a,3,0.0,0.0
arguana,test-free-speech-debate-ldhwprhs-con01a,3,0.0,0.0
arguana,test-free-speech-debate-ldhwprhs-pro01a,3,0.0,0.0
arguana,test-free-speech-debate-ldhwprhs-pro02a,3,-0.056243718396290866,-0.06071428571428572
arguana,test-free-speech-debate-nshbbsbfb-con01a,3,0.0,0.0
arguana,test-free-speech-debate-nshbbsbfb-pro02a,3,-0.10657014881480244,-0.04444444444444445
arguana,test-free-speech-debate-nshbcsbawc-pro01a,3,0.0,0.0
arguana,test-free-speech-debate-nshbcsbawc-pro04a,3,0.0,0.0
arguana,test-free-speech-debate-radhbsshr-con01a,3,0.06932344192660694,0.08333333333333331
arguana,test-free-speech-debate-radhbsshr-con04a,3,0.08985887914155714,0.1111111111111111
arguana,test-free-speech-debate-radhbsshr-pro02a,3,0.0,0.0
arguana,test-free-speech-debate-yfsdfkhbwu-pro01a,3,0.0,0.0
arguana,test-free-speech-debate-yfsdfkhbwu-pro03a,3,0.0,0.0
arguana,test-health-ahiahbgbsp-con02a,6,0.0,0.0
arguana,test-health-ahiahbgbsp-con03a,3,0.015249235849792578,0.015873015873015872
arguana,test-health-ahiahbgbsp-pro03a,3,-0.04382375083885143,-0.04999999999999999
arguana,test-health-dhghhbampt-pro01a,9,0.0,0.0
arguana,test-health-dhgsshbesbc-con03a,6,0.0,0.0
arguana,test-health-dhgsshbesbc-pro04a,6,0.0,0.0
arguana,test-health-dhiacihwph-con02a,3,0.0,0.0
arguana,test-health-dhiacihwph-con03a,3,0.0,0.0
arguana,test-health-dhiacihwph-pro02a,6,0.0,0.0
arguana,test-health-dhiacihwph-pro04a,3,0.0,0.0
arguana,test-health-dhpelhbass-con04a,6,0.0,0.0
arguana,test-health-dhpelhbass-pro03a,3,0.0,0.0
arguana,test-health-hdond-con01a,3,-0.06932344192660694,-0.08333333333333331
arguana,test-health-hgwhwbjfs-con03a,3,0.03503833036396344,0.038888888888888896
arguana,test-health-hpehwadvoee-con02a,3,0.0,0.0
arguana,test-health-hpehwadvoee-con03a,3,0.0,0.0
arguana,test-health-hpehwadvoee-con05a,3,-0.003988389782031106,-0.0037037037037037
arguana,test-health-hpehwadvoee-pro03a,3,0.0,0.0
arguana,test-health-hpehwadvoee-pro04a,3,-0.01983846079000486,-0.020370370370370382
arguana,test-health-hpehwadvoee-pro05a,3,-0.21544283278113593,-0.08835978835978835
arguana,test-health-ppelfhwbpba-con02a,3,0.0,0.0
arguana,test-health-ppelfhwbpba-pro01a,3,0.0,0.0
arguana,test-international-aahwstdrtfm-pro01a,3,-0.009944541964565956,-0.009656084656084649
arguana,test-international-aahwstdrtfm-pro02a,3,0.0,0.0
arguana,test-international-aahwstdrtfm-pro03a,3,-0.19669827399395637,-0.07037037037037037
arguana,test-international-aegmeppghw-con03a,3,0.09853927581917456,0.11666666666666664
arguana,test-international-aegmeppghw-pro01a,6,0.0,0.0
arguana,test-international-aegmeppghw-pro03a,3,0.0,0.0
arguana,test-international-aghbfcpspr-con02a,3,0.0,0.0
arguana,test-international-aghbfcpspr-pro02a,3,0.0,0.0
arguana,test-international-aghwrem-con02a,3,0.0,0.0
arguana,test-international-aghwrem-con03a,3,-0.1383035250817384,-0.07447089947089947
arguana,test-international-aghwrem-pro02a,3,-0.04074231032229342,-0.04166666666666666
arguana,test-international-aghwrem-pro04a,3,0.0,0.0
arguana,test-international-aglhrilhb-pro01a,3,0.0,0.0
arguana,test-international-amehbuaisji-pro02a,3,-0.10034333188799373,-0.037037037037037035
arguana,test-international-amehbuaisji-pro03a,3,0.0,0.0
arguana,test-international-appghblsba-con02a,3,0.0,0.0
arguana,test-international-appghblsba-pro02a,3,0.0,0.0
arguana,test-international-appghblsba-pro03a,6,0.0,0.0
arguana,test-international-appghblsba-pro04a,3,0.0,0.0
arguana,test-international-apwhbaucmip-con01a,3,0.0,0.0
arguana,test-international-apwhbaucmip-pro04a,3,-0.003988389782031106,-0.0037037037037037
arguana,test-international-atiahblit-con02a,3,0.0,0.0
arguana,test-international-bldimehbn-con01a,3,0.0,0.0
arguana,test-international-bldimehbn-con03a,6,0.0,0.0
arguana,test-international-bldimehbn-pro01a,6,0.0,0.0
arguana,test-international-bmaggiahbl-con02a,3,0.0,0.0
arguana,test-international-bmaggiahbl-pro03a,3,0.06082354489735511,0.0722222222222222
arguana,test-international-eghrhbeusli-pro01a,3,0.0,0.0
arguana,test-international-eghrhbeusli-pro05a,3,0.0,0.0
arguana,test-international-ehbfe-con03a,3,0.0,0.0
arguana,test-international-ehbfe-pro01a,3,0.0,0.0
arguana,test-international-ehbfe-pro02a,3,0.0,0.0
arguana,test-international-eiahwpamu-con01a,9,0.0,0.0
arguana,test-international-eiahwpamu-pro01a,3,0.13092975357145753,0.16666666666666669
arguana,test-international-eiahwpamu-pro03a,3,0.0,0.0
arguana,test-international-emephsate-con03a,6,0.0,0.0
arguana,test-international-emephsate-pro02a,3,0.0,0.0
arguana,test-international-emephsate-pro03a,6,0.0,0.0
arguana,test-international-epdlhfcefp-pro01a,6,-0.20025319549806447,-0.25
arguana,test-international-epglghbni-con01a,3,0.0,0.0
arguana,test-international-epglghbni-pro02a,3,0.0,0.0
arguana,test-international-epvhwhranet-con01a,3,-0.13092975357145753,-0.16666666666666669
arguana,test-international-epvhwhranet-con03a,3,-0.03713695593519325,-0.036507936507936496
arguana,test-international-epvhwhranet-pro03a,3,0.0,0.0
arguana,test-international-ghbunhf-pro01a,3,0.13092975357145753,0.16666666666666669
arguana,test-international-ghbunhf-pro03a,3,0.0,0.0
arguana,test-international-ghbunhf-pro04a,3,-0.08728650238097169,-0.11111111111111112
arguana,test-international-ghwcitca-con02a,3,-0.07543146184363891,-0.08888888888888886
arguana,test-international-glilpdwhsn-pro01a,3,0.0,0.0
arguana,test-international-glilpdwhsn-pro02a,3,-0.2890648263178879,-0.1
arguana,test-international-gmehbisrip1b-con01a,3,0.20549829081656998,0.0787037037037037
arguana,test-international-gmehwasr-con03a,3,-0.3058416227045637,-0.11574074074074074
arguana,test-international-gmehwasr-con05a,3,0.0,0.0
arguana,test-international-gmehwasr-pro01a,3,0.0,0.0
arguana,test-international-gpdwhwcusa-con03a,3,0.03771573092181946,0.04444444444444443
arguana,test-international-gpdwhwcusa-pro01a,3,0.0,0.0
arguana,test-international-gpdwhwcusa-pro03a,3,0.0,0.0
arguana,test-international-gpsmhbsosb-con01a,3,0.0,0.0
arguana,test-international-gpsmhbsosb-con03a,3,0.26126743488828574,0.1361111111111111
arguana,test-international-gsciidffe-pro04a,6,-0.13092975357145753,-0.16666666666666669
arguana,test-international-iiahwagit-pro02a,3,-0.01786845654760455,-0.01785714285714285
arguana,test-international-iiahwagit-pro04a,3,0.0,0.0
arguana,test-international-iiahwagit-pro05a,3,0.08728650238097169,0.11111111111111112
arguana,test-international-iighbopcc-con01a,3,0.0,0.0
arguana,test-international-iighbopcc-pro02a,3,0.0,0.0
arguana,test-international-ipecfiepg-con01a,3,0.0,0.0
arguana,test-international-ipecfiepg-con03a,3,0.0,0.0
arguana,test-international-ipecfiepg-con04a,3,0.0,0.0
arguana,test-international-ipecfiepg-pro02a,6,0.0,0.0
arguana,test-international-iwiaghbss-con01a,3,0.0,0.0
arguana,test-international-iwiaghbss-pro02a,3,0.0,0.0
arguana,test-international-miasimyhw-con01a,3,0.0,0.0
arguana,test-international-miasimyhw-con02a,3,0.0,0.0
arguana,test-international-miasimyhw-con03a,3,0.0,0.0
arguana,test-international-miasimyhw-pro01a,3,-0.04621562795107129,-0.055555555555555546
arguana,test-international-segiahbarr-con02a,3,0.0,0.0
arguana,test-international-segiahbarr-con03a,3,0.0,0.0
arguana,test-international-segiahbarr-pro02a,6,-0.13092975357145753,-0.16666666666666669
arguana,test-international-segiahbarr-pro03a,3,0.0,0.0
arguana,test-international-sepiahbaaw-pro01a,3,0.0,0.0
arguana,test-international-sepiahbaaw-pro04a,3,0.0,0.0
arguana,test-international-siacphbnt-con03a,3,0.014607916946283809,0.016666666666666663
arguana,test-international-siacphbnt-pro03a,3,0.0,0.0
arguana,test-international-siacphbnt-pro04a,3,-0.004811627040582522,-0.004629629629629632
arguana,test-international-siacphbnt-pro05a,3,0.03503833036396344,0.038888888888888896
arguana,test-international-ssiarcmhb-con01a,3,0.0,0.0
arguana,test-international-ssiarcmhb-con05a,3,0.0,0.0
arguana,test-law-cpilhbishioe-con01a,3,0.0,0.0
arguana,test-law-cpilhbishioe-con04a,3,-0.014607916946283809,-0.016666666666666663
arguana,test-law-cpilhbishioe-pro01a,3,0.029215833892567617,0.033333333333333326
arguana,test-law-cpilhbishioe-pro04a,3,0.0,0.0
arguana,test-law-cplglghwbhwd-con01a,6,0.0,0.0
arguana,test-law-cplgpshwdp-con02a,6,0.0,0.0
arguana,test-law-cplgpshwdp-con03a,3,0.0,0.0
arguana,test-law-cplgpshwdp-pro01a,3,0.15064355983415667,0.09166666666666666
arguana,test-law-cplgpshwdp-pro04a,3,0.01786845654760455,0.01785714285714285
arguana,test-law-cppshbcjsfm-con01a,3,0.0,0.0
arguana,test-law-cppshbcjsfm-pro02a,3,0.0,0.0
arguana,test-law-hrilpgwhwr-con04a,3,0.0,0.0
arguana,test-law-hrpepthwuto-con01a,6,-0.00595615218253485,-0.0059523809523809494
arguana,test-law-hrpepthwuto-pro03a,3,0.0,0.0
arguana,test-law-ilppppghb-con02a,3,0.0,0.0
arguana,test-law-ilppppghb-con03a,3,0.008800016822613629,0.008333333333333331
arguana,test-law-lghbacpsba-con01a,3,0.0,0.0
arguana,test-law-lghbacpsba-pro03a,3,0.0,0.0
arguana,test-law-lghbacpsba-pro05a,3,-0.06932344192660694,-0.08333333333333331
arguana,test-law-lghwpcctcc-con01a,3,0.0,0.0
arguana,test-law-lghwpcctcc-con02a,6,0.0,0.0
arguana,test-law-lghwpcctcc-con03a,3,0.0,0.0
arguana,test-law-lghwpcctcc-pro01a,3,-0.008800016822613629,-0.008333333333333331
arguana,test-law-lgplhbssbco-con03a,3,0.0,0.0
arguana,test-law-phwmfri-con01a,3,0.0,0.0
arguana,test-law-phwmfri-con03a,3,-0.19270988421192525,-0.06666666666666667
arguana,test-law-phwmfri-pro03a,6,0.04074231032229342,0.04166666666666666
arguana,test-law-ralhrilglv-pro03a,3,0.0,0.0
arguana,test-law-rmelhrilhbiw-pro04a,6,0.09635494210596263,0.03333333333333333
arguana,test-law-sdfclhrppph-pro02a,3,0.0,0.0
arguana,test-law-sdiflhrdffe-con04a,3,0.0,0.0
arguana,test-law-sdiflhrdffe-pro01a,3,-0.12354735607658991,-0.06018518518518518
arguana,test-law-tahglcphsld-con01a,3,-0.010215206708839816,-0.011111111111111118
arguana,test-law-tahglcphsld-con03a,3,0.0,0.0
arguana,test-law-tahglcphsld-pro05a,3,0.0,0.0
arguana,test-law-thgglcplgphw-pro02a,3,-0.09635494210596263,-0.03333333333333333
arguana,test-law-thgglcplgphw-pro03a,6,-0.03827023805141574,-0.04126984126984129
arguana,test-law-tlcplghwfne-con01a,6,0.0,0.0
arguana,test-law-umtlilhotac-con03a,3,0.0,0.0
arguana,test-philosophy-apessghwba-con01a,3,0.0,0.0
arguana,test-philosophy-apessghwba-con04a,3,0.0,0.0
arguana,test-philosophy-apessghwba-pro03a,3,0.13092975357145753,0.16666666666666669
arguana,test-philosophy-elhbrd-con02a,3,0.0,0.0
arguana,test-philosophy-elkosmj-con01a,3,0.0,0.0
arguana,test-philosophy-elkosmj-con04a,3,0.0,0.0
arguana,test-philosophy-elkosmj-con06a,3,-0.007624617924896289,-0.007936507936507936
arguana,test-philosophy-elkosmj-pro01a,6,0.0,0.0
arguana,test-philosophy-eppphwlrtjs-con03a,3,-0.29305321609991897,-0.1037037037037037
arguana,test-philosophy-eppphwlrtjs-con04a,3,0.0,0.0
arguana,test-philosophy-ippelhbcp-con02a,6,0.09635494210596263,0.03333333333333333
arguana,test-philosophy-ippelhbcp-con03a,3,0.0,0.0
arguana,test-philosophy-ippelhbcp-pro01a,3,0.0,0.0
arguana,test-philosophy-ippelhbcp-pro03a,3,0.0,0.0
arguana,test-philosophy-npegiepp-con02a,6,0.0,0.0
arguana,test-philosophy-npegiepp-con03a,3,0.0,0.0
arguana,test-philosophy-npegiepp-con04a,3,0.0,0.0
arguana,test-philosophy-npegiepp-pro01a,3,0.0,0.0
arguana,test-philosophy-npppmhwup-con01a,3,-0.10034333188799373,-0.037037037037037035
arguana,test-philosophy-npppmhwup-pro03a,3,0.0,0.0
arguana,test-philosophy-pphbclsbs-con01a,3,0.0,0.0
arguana,test-philosophy-pphbclsbs-con02a,3,0.0,0.0
arguana,test-philosophy-pphbclsbs-con03a,3,0.0,0.0
arguana,test-philosophy-pphbclsbs-con04a,3,0.0,0.0
arguana,test-philosophy-pphbclsbs-pro01a,3,-0.10034333188799373,-0.037037037037037035
arguana,test-philosophy-pphbclsbs-pro04a,3,0.13350213033204297,0.16666666666666666
arguana,test-philosophy-pppgshbsd-con05a,3,-0.03503833036396344,-0.038888888888888896
arguana,test-philosophy-pppgshbsd-pro03a,3,0.04621562795107129,0.055555555555555546
arguana,test-philosophy-pppthbtcb-con02a,3,0.0,0.0
arguana,test-philosophy-pppthbtcb-con03a,3,0.0,0.0
arguana,test-philosophy-pppthbtcb-con04a,3,0.0,0.0
arguana,test-politics-cdfsaphgiap-pro01a,3,0.0,0.0
arguana,test-politics-cdfsaphgiap-pro02a,3,0.06932344192660694,0.08333333333333331
arguana,test-politics-cdfsaphgiap-pro03a,3,0.020430413417679632,0.022222222222222237
arguana,test-politics-cdmaggpdgdf-con04a,3,0.0,0.0
arguana,test-politics-cdmaggpdgdf-pro01a,3,0.0,0.0
arguana,test-politics-cdmaggpdgdf-pro04a,6,0.0,0.0
arguana,test-politics-cpecfiepg-con02a,6,0.0,0.0
arguana,test-politics-cpecfiepg-pro02a,3,0.0,0.0
arguana,test-politics-cpegiepgh-con01a,3,0.0,0.0
arguana,test-politics-cpegiepgh-con03a,3,0.0,0.0
arguana,test-politics-cpegiepgh-pro02a,3,0.030645620126519446,0.033333333333333354
arguana,test-politics-cpegiepgh-pro03a,6,0.19669827399395637,0.07037037037037037
arguana,test-politics-dhbanhrnw-con01a,6,0.0,0.0
arguana,test-politics-dhbanhrnw-con02a,3,0.0,0.0
arguana,test-politics-dhbanhrnw-con04a,3,0.0,0.0
arguana,test-politics-dhbanhrnw-pro03a,3,0.0,0.0
arguana,test-politics-dhbanhrnw-pro04a,3,-0.10515495892857625,-0.041666666666666664
arguana,test-politics-dhwem-con02a,3,-0.29305321609991897,-0.1037037037037037
arguana,test-politics-dhwem-pro01a,3,0.0,0.0
arguana,test-politics-dhwem-pro06a,3,0.0,0.0
arguana,test-politics-eppghwgpi-con02a,3,0.0,0.0
arguana,test-politics-eppghwgpi-con05a,3,0.0,0.0
arguana,test-politics-eppghwgpi-pro01a,3,-0.008800016822613629,-0.008333333333333331
arguana,test-politics-eppghwlrba-con01a,3,-0.06932344192660694,-0.08333333333333331
arguana,test-politics-eppghwlrba-con04a,3,0.0,0.0
arguana,test-politics-eppghwlrba-pro01a,3,0.0,0.0
arguana,test-politics-eppghwlrba-pro02a,3,0.04364325119048584,0.05555555555555556
arguana,test-politics-epvhbfsmsaop-con02a,3,0.017839824633736106,0.019047619047619053
arguana,test-politics-ghbgussbsbt-con01a,3,0.008800016822613629,0.008333333333333331
arguana,test-politics-ghbgussbsbt-con02a,3,0.0,0.0
arguana,test-politics-glghssi-con01a,3,0.0813589821123053,0.09999999999999999
arguana,test-politics-glghssi-con02a,3,0.029063966158070498,0.03373015873015872
arguana,test-politics-glgvhbqssc-con01a,3,0.0,0.0
arguana,test-politics-grcrgshwbr-con01a,3,0.0,0.0
arguana,test-politics-grcrgshwbr-con04a,3,0.0,0.0
arguana,test-politics-grcrgshwbr-pro01a,3,0.0,0.0
arguana,test-politics-grcrgshwbr-pro02a,3,0.022873853774688868,0.023809523809523808
arguana,test-politics-gvhbhlsbr-con01a,3,0.0,0.0
arguana,test-politics-gvhbhlsbr-con02a,6,0.0,0.0
arguana,test-politics-gvhwhnerse-con01a,3,0.0,0.0
arguana,test-politics-gvhwhnerse-con03a,3,-0.007624617924896289,-0.007936507936507936
arguana,test-politics-gvhwhnerse-con04a,3,-0.19669827399395637,-0.07037037037037037
arguana,test-politics-gvhwhnerse-pro01a,6,0.0,0.0
arguana,test-politics-gvhwhnerse-pro04a,3,0.014607916946283809,0.016666666666666663
arguana,test-politics-lghwdecm-con04a,3,0.0,0.0
arguana,test-politics-mtpghwaacb-con03a,3,0.0,0.0
arguana,test-politics-mtpghwaacb-pro02a,3,0.01786845654760455,0.01785714285714285
arguana,test-politics-nlpdwhbusbuc-con01a,3,-0.06932344192660694,-0.08333333333333331
arguana,test-politics-nlpdwhbusbuc-pro01a,3,0.0,0.0
arguana,test-politics-nlpdwhbusbuc-pro02a,3,0.0,0.0
arguana,test-politics-oapdhwinkp-con03a,3,0.0,0.0
arguana,test-politics-oepdlhfcefp-pro01a,3,0.13092975357145753,0.16666666666666669
arguana,test-politics-oepdlhfcefp-pro04a,6,0.03230333766935212,0.031746031746031744
arguana,test-politics-oepghbrnsl-pro02a,3,-0.08728650238097169,-0.11111111111111112
arguana,test-politics-oepghbrnsl-pro03a,3,0.0,0.0
arguana,test-politics-oeplhbuwhmi-con01a,3,0.0,0.0
arguana,test-politics-oeplhbuwhmi-con02a,6,0.0,0.0
arguana,test-politics-oeplhbuwhmi-pro04a,3,0.0,0.0
arguana,test-politics-oglilpdwhsn-con03a,6,0.0,0.0
arguana,test-politics-pgsimhwoia-con01a,3,-0.06543177826627801,-0.06904761904761907
arguana,test-politics-pgsimhwoia-con02a,3,0.11055853859683355,0.048148148148148155
arguana,test-politics-pgsimhwoia-pro01a,3,-0.04621562795107129,-0.055555555555555546
arguana,test-politics-ypppdghwid-con02a,3,0.0,0.0
arguana,test-politics-ypppdghwid-con04a,3,-0.09635494210596263,-0.03333333333333333
arguana,test-politics-ypppdghwid-pro01a,3,0.010215206708839816,0.011111111111111118
arguana,test-politics-ypppdghwid-pro04a,3,0.0,0.0
arguana,test-politics-ypppgvhwmv-con01a,3,0.003988389782031106,0.0037037037037037
arguana,test-politics-ypppgvhwmv-con02a,3,0.03835704982532823,0.04365079365079364
arguana,test-politics-ypppgvhwmv-con03a,3,0.13349189804115588,0.06984126984126983
arguana,test-politics-ypppgvhwmv-pro01a,3,0.09635494210596263,0.03333333333333333
arguana,test-politics-ypppgvhwmv-pro04a,6,0.0,0.0
arguana,test-religion-cmrsgfhbr-con02a,3,-0.09635494210596263,-0.03333333333333333
arguana,test-religion-cmrsgfhbr-con03a,3,0.0,0.0
arguana,test-religion-cmrsgfhbr-pro01a,3,0.0,0.0
arguana,test-religion-frghbbgi-con01a,3,0.0,0.0
arguana,test-religion-frghbbgi-con03a,3,0.04382375083885143,0.04999999999999999
arguana,test-religion-grcrgshwbr-con01a,3,0.0,0.0
arguana,test-religion-msgfhwbamec-con01a,3,0.0,0.0
arguana,test-religion-msgfhwbamec-con02a,3,-0.3010299956639812,-0.1111111111111111
arguana,test-religion-msgfhwbamec-pro02a,3,0.0,0.0
arguana,test-religion-msgfhwbamec-pro03a,9,0.0,0.0
arguana,test-religion-wcprrgrhbmi-con02a,3,0.0,0.0
